Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
Balança comercial,Exportações,2001-12-14,2004,71.76,72.0,4.19,65.0,80.5,,0
Balança comercial,Exportações,2001-12-14,2005,76.78,77.5,5.98,68.0,90.8,,0
Balança comercial,Exportações,2001-12-17,2001,58.38,58.3,0.54,54.85,59.5,,0
Balança comercial,Exportações,2001-12-17,2002,61.0,61.0,1.8900000000000001,55.02,66.0,,0
Balança comercial,Exportações,2001-12-17,2003,66.27,66.17,2.83,62.0,71.9,,0
Balança comercial,Exportações,2001-12-17,2004,71.68,72.0,4.13,65.0,80.5,,0
Balança comercial,Exportações,2001-12-17,2005,76.78,77.5,5.98,68.0,90.8,,0
Balança comercial,Exportações,2001-12-18,2001,58.41,58.31,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-18,2002,60.98,61.0,1.88,55.02,66.0,,0
Balança comercial,Exportações,2001-12-18,2003,66.22,66.0,2.81,62.0,71.9,,0
Balança comercial,Exportações,2001-12-18,2004,71.68,72.0,4.13,65.0,80.5,,0
Balança comercial,Exportações,2001-12-18,2005,76.78,77.5,5.98,68.0,90.8,,0
Balança comercial,Exportações,2001-12-19,2001,58.4,58.31,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-19,2002,60.97,61.0,1.8900000000000001,55.02,66.0,,0
Balança comercial,Exportações,2001-12-19,2003,66.22,66.0,2.81,62.0,71.9,,0
Balança comercial,Exportações,2001-12-19,2004,71.68,72.0,4.13,65.0,80.5,,0
Balança comercial,Exportações,2001-12-19,2005,76.78,77.5,5.98,68.0,90.8,,0
Balança comercial,Exportações,2001-12-20,2001,58.39,58.31,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-20,2002,60.82,60.95,1.81,55.02,66.0,,0
Balança comercial,Exportações,2001-12-20,2003,65.98,66.0,2.66,62.0,71.9,,0
Balança comercial,Exportações,2001-12-20,2004,71.17,72.0,3.94,65.0,80.5,,0
Balança comercial,Exportações,2001-12-20,2005,76.74,77.5,5.95,68.0,90.8,,0
Balança comercial,Exportações,2001-12-21,2001,58.39,58.32,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-21,2002,60.82,60.95,1.81,55.02,66.0,,0
Balança comercial,Exportações,2001-12-21,2003,65.98,66.0,2.66,62.0,71.9,,0
Balança comercial,Exportações,2001-12-21,2004,71.17,72.0,3.94,65.0,80.5,,0
Balança comercial,Exportações,2001-12-21,2005,76.74,77.5,5.95,68.0,90.8,,0
Balança comercial,Exportações,2001-12-24,2001,58.39,58.31,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-24,2002,60.78,60.6,1.82,55.02,66.0,,0
Balança comercial,Exportações,2001-12-24,2003,66.01,66.0,2.69,62.0,71.9,,0
Balança comercial,Exportações,2001-12-24,2004,71.31,72.0,3.9699999999999998,65.0,80.5,,0
Balança comercial,Exportações,2001-12-24,2005,77.01,79.0,6.01,68.0,90.8,,0
Balança comercial,Exportações,2001-12-26,2001,58.39,58.32,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-26,2002,60.78,60.6,1.82,55.02,66.0,,0
Balança comercial,Exportações,2001-12-26,2003,66.01,66.0,2.69,62.0,71.9,,0
Balança comercial,Exportações,2001-12-26,2004,71.31,72.0,3.9699999999999998,65.0,80.5,,0
Balança comercial,Exportações,2001-12-26,2005,77.01,79.0,6.01,68.0,90.8,,0
Balança comercial,Exportações,2001-12-27,2001,58.4,58.37,0.5700000000000001,54.85,59.71,,0
Balança comercial,Exportações,2001-12-27,2002,60.78,60.6,1.82,55.02,66.0,,0
Balança comercial,Exportações,2001-12-27,2003,65.99,66.0,2.68,62.0,71.9,,0
Balança comercial,Exportações,2001-12-27,2004,71.28,72.0,3.95,65.0,80.5,,0
Balança comercial,Exportações,2001-12-27,2005,76.98,79.0,5.99,68.0,90.8,,0
Balança comercial,Exportações,2001-12-28,2001,58.46,58.43,0.37,57.6,59.71,,0
Balança comercial,Exportações,2001-12-28,2002,60.71,60.5,1.76,55.02,66.0,,0
Balança comercial,Exportações,2001-12-28,2003,65.93,66.0,2.71,61.0,71.9,,0
Balança comercial,Exportações,2001-12-28,2004,71.12,72.0,4.19,63.3,80.5,,0
Balança comercial,Exportações,2001-12-28,2005,77.3,79.0,5.96,68.0,90.8,,0
Balança comercial,Exportações,2001-12-31,2001,58.45,58.41,0.36,57.6,59.71,,0
Balança comercial,Exportações,2001-12-31,2002,60.71,60.5,1.78,55.02,66.0,,0
Balança comercial,Exportações,2001-12-31,2003,66.03,66.0,2.68,61.0,71.9,,0
Balança comercial,Exportações,2001-12-31,2004,71.12,72.0,4.19,63.3,80.5,,0
Balança comercial,Exportações,2001-12-31,2005,77.3,79.0,5.96,68.0,90.8,,0
Balança comercial,Exportações,2002-01-02,2001,58.47,58.46,0.37,57.6,59.71,,0
Balança comercial,Exportações,2002-01-02,2002,60.72,60.5,1.77,55.02,66.0,,0
Balança comercial,Exportações,2002-01-02,2003,66.03,66.0,2.68,61.0,71.9,,0
Balança comercial,Exportações,2002-01-02,2004,71.12,72.0,4.19,63.3,80.5,,0
